Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Westmont Community Unit School District No. 201, Illinois",NDA,WESTMONT COMMUNITY UNIT SCHOOL DISTRICT NO. 201,ILLINOIS,,,,
"New York City School District #28, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #28,NEW YORK,,,,
"Wichita Unified School District 259, Kansas",NDA,WICHITA UNIFIED SCHOOL DISTRICT 259,KANSAS,,,,
"Liberty Public School District No. 53, Missouri",NDA,LIBERTY PUBLIC SCHOOL DISTRICT NO. 53,MISSOURI,,,,
"Garland Independent School District, Texas",NDA,GARLAND INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Huber Heights City School District, Ohio",NDA,HUBER HEIGHTS CITY SCHOOL DISTRICT,OHIO,,,,
"Fresno Unified School District, California",NDA,FRESNO UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Parkway School District, Missouri",NDA,PARKWAY SCHOOL DISTRICT,MISSOURI,,,,
"Manheim Township School District, Pennsylvania",NDA,MANHEIM TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Cook-Wissahickon School, Pennsylvania",NDA,COOK-WISSAHICKON SCHOOL,PENNSYLVANIA,,,,
"Pierz School District No. 484, Minnesota",NDA,PIERZ SCHOOL DISTRICT NO. 484,MINNESOTA,,,,
"Weld County Reorganized School District No. Re-3J, Colorado",NDA,WELD COUNTY REORGANIZED SCHOOL DISTRICT NO. RE-3J,COLORADO,,,,
"Miami University, Ohio",NDA,MIAMI UNIVERSITY,OHIO,,,,
"Chino Valley Unified School District, California",NDA,CHINO VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Beaumont Independent School District, Texas",NDA,BEAUMONT INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Canton Union School District No. 66, Illinois",NDA,CANTON UNION SCHOOL DISTRICT NO. 66,ILLINOIS,,,,
"one.Charter - Academy of Visual and Performing Arts, California",NDA,ONE.CHARTER - ACADEMY OF VISUAL AND PERFORMING ARTS,CALIFORNIA,,,,
"Saratoga Union School District, California",NDA,SARATOGA UNION SCHOOL DISTRICT,CALIFORNIA,,,,
"General Services Administration, District of Columbia",NDA,GENERAL SERVICES ADMINISTRATION,DISTRICT OF COLUMBIA,,,,
"Biddeford School Unit, Maine",NDA,BIDDEFORD SCHOOL UNIT,MAINE,,,,
"Raul Perales Middle School, Texas",NDA,RAUL PERALES MIDDLE SCHOOL,TEXAS,,,,
"Midway Middle School, Texas",NDA,MIDWAY MIDDLE SCHOOL,TEXAS,,,,
"River Valley Middle School, Texas",NDA,RIVER VALLEY MIDDLE SCHOOL,TEXAS,,,,
"Stanly Community College, North Carolina",NDA,STANLY COMMUNITY COLLEGE,NORTH CAROLINA,,,,
"St. Clair R-XIII School District, Missouri",NDA,ST. CLAIR R-XIII SCHOOL DISTRICT,MISSOURI,,,,
"Calhoun County School District, Florida",NDA,CALHOUN COUNTY SCHOOL DISTRICT,FLORIDA,,,,
"Sylvania City School District, Ohio",NDA,SYLVANIA CITY SCHOOL DISTRICT,OHIO,,,,
"Flathead County, Montana",NDA,FLATHEAD COUNTY,MONTANA,,,,
"Berkeley School District #87, Illinois",NDA,BERKELEY SCHOOL DISTRICT #87,ILLINOIS,,,,
"Montgomery Junior High School, Texas",NDA,MONTGOMERY JUNIOR HIGH SCHOOL,TEXAS,,,,
"Cuyahoga Community College, Ohio",NDA,CUYAHOGA COMMUNITY COLLEGE,OHIO,,,,
"Orono Independent School District No. 278, Minnesota",NDA,ORONO INDEPENDENT SCHOOL DISTRICT NO. 278,MINNESOTA,,,,
"STEM Academy at Bernstein High School, California",NDA,STEM ACADEMY AT BERNSTEIN HIGH SCHOOL,CALIFORNIA,,,,
"MiraCosta College, California",NDA,MIRACOSTA COLLEGE,CALIFORNIA,,,,
"Central Community Unit School District No. 301, Illinois",NDA,CENTRAL COMMUNITY UNIT SCHOOL DISTRICT NO. 301,ILLINOIS,,,,
"Iowa City Community School District, Iowa",NDA,IOWA CITY COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Prairie-Hills Elementary School District #144, Illinois",NDA,PRAIRIE-HILLS ELEMENTARY SCHOOL DISTRICT #144,ILLINOIS,,,,
"Shrewsbury Public Schools, Massachusetts",NDA,SHREWSBURY PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Department of Health and Human Services - GSA, District of Columbia",NDA,DEPARTMENT OF HEALTH AND HUMAN SERVICES - GSA,DISTRICT OF COLUMBIA,,,,
"North Brevard County Hospital District, Florida",NDA,NORTH BREVARD COUNTY HOSPITAL DISTRICT,FLORIDA,,,,
"Monroe Township School District (Middlesex County), New Jersey",NDA,MONROE TOWNSHIP SCHOOL DISTRICT (MIDDLESEX COUNTY),NEW JERSEY,,,,
"Butte Vista School, California",NDA,BUTTE VISTA SCHOOL,CALIFORNIA,,,,
"Channahon School District No. 17, Illinois",NDA,CHANNAHON SCHOOL DISTRICT NO. 17,ILLINOIS,,,,
"West Plains R-VII Schools, Missouri",NDA,WEST PLAINS R-VII SCHOOLS,MISSOURI,,,,
"Aspire Pacific College Preparatory Academy, California",NDA,ASPIRE PACIFIC COLLEGE PREPARATORY ACADEMY,CALIFORNIA,,,,
"Lemoore Union High School District, California",NDA,LEMOORE UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"West Greene School District, Pennsylvania",NDA,WEST GREENE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Chicago Public Schools, Illinois",NDA,CHICAGO PUBLIC SCHOOLS,ILLINOIS,,,,
"Lemont-Bromberek Combined School District 113A, Illinois",NDA,LEMONT-BROMBEREK COMBINED SCHOOL DISTRICT 113A,ILLINOIS,,,,
"Nashoba Regional School District, Massachusetts",NDA,NASHOBA REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Spring Grove Area School District, Pennsylvania",NDA,SPRING GROVE AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Desert Sands Unified School District, California",NDA,DESERT SANDS UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Department of Agriculture - GSA, District of Columbia",NDA,DEPARTMENT OF AGRICULTURE - GSA,DISTRICT OF COLUMBIA,,,,
"Center Cass School District No. 66, Illinois",NDA,CENTER CASS SCHOOL DISTRICT NO. 66,ILLINOIS,,,,
"Greenbrier Public Schools, Arkansas",NDA,GREENBRIER PUBLIC SCHOOLS,ARKANSAS,,,,
"Chicago State University, Illinois",NDA,CHICAGO STATE UNIVERSITY,ILLINOIS,,,,
"Radnor Township School District, Pennsylvania",NDA,RADNOR TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Department of Commerce - GSA, District of Columbia",NDA,DEPARTMENT OF COMMERCE - GSA,DISTRICT OF COLUMBIA,,,,
"Storm Lake Community School District, Iowa",NDA,STORM LAKE COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Upper St. Clair School District, Pennsylvania",NDA,UPPER ST. CLAIR SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Indiana University, Indiana",NDA,INDIANA UNIVERSITY,INDIANA,,,,
"Northern York County School District, Pennsylvania",NDA,NORTHERN YORK COUNTY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Technology High School, California",NDA,TECHNOLOGY HIGH SCHOOL,CALIFORNIA,,,,
"Wyoming City School District, Ohio",NDA,WYOMING CITY SCHOOL DISTRICT,OHIO,,,,
"Saginaw City School District, Michigan",NDA,SAGINAW CITY SCHOOL DISTRICT,MICHIGAN,,,,
"McCook Public Schools, Nebraska",NDA,MCCOOK PUBLIC SCHOOLS,NEBRASKA,,,,
"Chippewa Falls Area Unified SD, Wisconsin",NDA,CHIPPEWA FALLS AREA UNIFIED SD,WISCONSIN,,,,
"Scranton School District, Pennsylvania",NDA,SCRANTON SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Highland Falls-Fort Montgomery Central School District, New York",NDA,HIGHLAND FALLS-FORT MONTGOMERY CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"New York City School District #9, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #9,NEW YORK,,,,
"Upper Dublin School District, Pennsylvania",NDA,UPPER DUBLIN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Columbia Falls School District, Montana",NDA,COLUMBIA FALLS SCHOOL DISTRICT,MONTANA,,,,
"Otselic Valley Central School District, New York",NDA,OTSELIC VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"Richfield Independent School District No. 280, Minnesota",NDA,RICHFIELD INDEPENDENT SCHOOL DISTRICT NO. 280,MINNESOTA,,,,
"Muskogee Public Schools, Oklahoma",NDA,MUSKOGEE PUBLIC SCHOOLS,OKLAHOMA,,,,
"University Of New Hampshire, New Hampshire",NDA,UNIVERSITY OF NEW HAMPSHIRE,NEW HAMPSHIRE,,,,
"University System of New Hampshire Offices, New Hampshire",NDA,UNIVERSITY SYSTEM OF NEW HAMPSHIRE OFFICES,NEW HAMPSHIRE,,,,
"Richard Bland College, Virginia",NDA,RICHARD BLAND COLLEGE,VIRGINIA,,,,
"Mt. Lebanon School District, Pennsylvania",NDA,MT. LEBANON SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Montachusett Regional Vocational Technical School, Massachusetts",NDA,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL,MASSACHUSETTS,,,,
"Union Grove Union High School District, Wisconsin",NDA,UNION GROVE UNION HIGH SCHOOL DISTRICT,WISCONSIN,,,,
"A. Philip Randolph AVT High School, Pennsylvania",NDA,A. PHILIP RANDOLPH AVT HIGH SCHOOL,PENNSYLVANIA,,,,
"River Trails School District 26, Illinois",NDA,RIVER TRAILS SCHOOL DISTRICT 26,ILLINOIS,,,,
"Wilson Area School District, Pennsylvania",NDA,WILSON AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"School District of Springfield Township, Pennsylvania",NDA,SCHOOL DISTRICT OF SPRINGFIELD TOWNSHIP,PENNSYLVANIA,,,,
"Town of Shrewsbury, Massachusetts",NDA,TOWN OF SHREWSBURY,MASSACHUSETTS,,,,
"Pennridge School District, Pennsylvania",NDA,PENNRIDGE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Fayette County Board of Education, Georgia",NDA,FAYETTE COUNTY BOARD OF EDUCATION,GEORGIA,,,,
"Kelso School District No. 458, Washington",NDA,KELSO SCHOOL DISTRICT NO. 458,WASHINGTON,,,,
"Port Jefferson School District, New York",NDA,PORT JEFFERSON SCHOOL DISTRICT,NEW YORK,,,,
"Lincoln High School, California",NDA,LINCOLN HIGH SCHOOL,CALIFORNIA,,,,
"Paradise Valley Unified School District, Arizona",NDA,PARADISE VALLEY UNIFIED SCHOOL DISTRICT,ARIZONA,,,,
"Avella Area School District, Pennsylvania",NDA,AVELLA AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Central Community College, Nebraska",NDA,CENTRAL COMMUNITY COLLEGE,NEBRASKA,,,,
"West Philadelphia High School, Pennsylvania",NDA,WEST PHILADELPHIA HIGH SCHOOL,PENNSYLVANIA,,,,
"North Colonie Central Schools, New York",NDA,NORTH COLONIE CENTRAL SCHOOLS,NEW YORK,,,,
"Benson Unified School District- Cochise County #9, Arizona",NDA,BENSON UNIFIED SCHOOL DISTRICT- COCHISE COUNTY #9,ARIZONA,,,,
"Boerne Independent School District, Texas",NDA,BOERNE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Fort Scott Unified USD 234, Kansas",NDA,FORT SCOTT UNIFIED USD 234,KANSAS,,,,
"Lawrence Public Schools, Massachusetts",NDA,LAWRENCE PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Sumter County District Schools, Florida",NDA,SUMTER COUNTY DISTRICT SCHOOLS,FLORIDA,,,,
"Somerville Borough School District, New Jersey",NDA,SOMERVILLE BOROUGH SCHOOL DISTRICT,NEW JERSEY,,,,
"Charleston Community Unit School District No. 1, Illinois",NDA,CHARLESTON COMMUNITY UNIT SCHOOL DISTRICT NO. 1,ILLINOIS,,,,
"Falmouth Schools, Maine",NDA,FALMOUTH SCHOOLS,MAINE,,,,
"Carlisle Public Schools, Massachusetts",NDA,CARLISLE PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"New York City School District #30, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #30,NEW YORK,,,,
"Festus R-VI School District, Missouri",NDA,FESTUS R-VI SCHOOL DISTRICT,MISSOURI,,,,
"Sayreville Public Schools, New Jersey",NDA,SAYREVILLE PUBLIC SCHOOLS,NEW JERSEY,,,,
"Madison Park Business & Art Academy, California",NDA,MADISON PARK BUSINESS & ART ACADEMY,CALIFORNIA,,,,
"Woonsocket Education Department, Rhode Island",NDA,WOONSOCKET EDUCATION DEPARTMENT,RHODE ISLAND,,,,
"Terrell Independent School District, Texas",NDA,TERRELL INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Forsyth County Schools, Georgia",NDA,FORSYTH COUNTY SCHOOLS,GEORGIA,,,,
"South Allegheny School District, Pennsylvania",NDA,SOUTH ALLEGHENY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Berks County Intermediate Unit 14, Pennsylvania",NDA,BERKS COUNTY INTERMEDIATE UNIT 14,PENNSYLVANIA,,,,
"City School District of New Rochelle, New York",NDA,CITY SCHOOL DISTRICT OF NEW ROCHELLE,NEW YORK,,,,
"County of Los Angeles - Internal Services, California",NDA,COUNTY OF LOS ANGELES - INTERNAL SERVICES,CALIFORNIA,,,,
"Placer Union High School District, California",NDA,PLACER UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Great Neck Middle School, Virginia",NDA,GREAT NECK MIDDLE SCHOOL,VIRGINIA,,,,
"South Holland School District #150, Illinois",NDA,SOUTH HOLLAND SCHOOL DISTRICT #150,ILLINOIS,,,,
"Wilton Community School District, Iowa",NDA,WILTON COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Mt. Diablo Unified School District, California",NDA,MT. DIABLO UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Clear Lake Community School District, Iowa",NDA,CLEAR LAKE COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Commodore Options School, Washington",NDA,COMMODORE OPTIONS SCHOOL,WASHINGTON,,,,
"Palo Alto Unified School District, California",NDA,PALO ALTO UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"The School District of Clayton, Missouri",NDA,THE SCHOOL DISTRICT OF CLAYTON,MISSOURI,,,,
"York Suburban School District, Pennsylvania",NDA,YORK SUBURBAN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"San Felipe Del Rio CISD, Texas",NDA,SAN FELIPE DEL RIO CISD,TEXAS,,,,
"Deer Park Independent School District, Texas",NDA,DEER PARK INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"El Campo Middle School, Texas",NDA,EL CAMPO MIDDLE SCHOOL,TEXAS,,,,
"Oshkosh Area Public Schools, Wisconsin",NDA,OSHKOSH AREA PUBLIC SCHOOLS,WISCONSIN,,,,
"Portsmouth School Department, Rhode Island",NDA,PORTSMOUTH SCHOOL DEPARTMENT,RHODE ISLAND,,,,
"Castleberry Independent School District, Texas",NDA,CASTLEBERRY INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Mt Pleasant Community School District, Iowa",NDA,MT PLEASANT COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"City of Hampton, Virginia",NDA,CITY OF HAMPTON,VIRGINIA,,,,
"Trevor-Wilmot School, Wisconsin",NDA,TREVOR-WILMOT SCHOOL,WISCONSIN,,,,
"Claymont City School District, Ohio",NDA,CLAYMONT CITY SCHOOL DISTRICT,OHIO,,,,
"Faith Family Academies, Texas",NDA,FAITH FAMILY ACADEMIES,TEXAS,,,,
"St. Louis Public Schools, Missouri",NDA,ST. LOUIS PUBLIC SCHOOLS,MISSOURI,,,,
"Tulsa Public Schools, Oklahoma",NDA,TULSA PUBLIC SCHOOLS,OKLAHOMA,,,,
"Westchester Academy of International Studies, Texas",NDA,WESTCHESTER ACADEMY OF INTERNATIONAL STUDIES,TEXAS,,,,
"Gardena Senior High School, California",NDA,GARDENA SENIOR HIGH SCHOOL,CALIFORNIA,,,,
"William S Hart Union High School District, California",NDA,WILLIAM S HART UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"New Jersey Institute Of Technology, New Jersey",NDA,NEW JERSEY INSTITUTE OF TECHNOLOGY,NEW JERSEY,,,,
"Niles Township High School District 219, Illinois",NDA,NILES TOWNSHIP HIGH SCHOOL DISTRICT 219,ILLINOIS,,,,
"Los Lunas Public Schools, New Mexico",NDA,LOS LUNAS PUBLIC SCHOOLS,NEW MEXICO,,,,
"Affton School District, Missouri",NDA,AFFTON SCHOOL DISTRICT,MISSOURI,,,,
"Hamilton Elementary, Illinois",NDA,HAMILTON ELEMENTARY,ILLINOIS,,,,
"Moline-Coal Valley School District, Illinois",NDA,MOLINE-COAL VALLEY SCHOOL DISTRICT,ILLINOIS,,,,
"Papillion-La Vista Public Schools, Nebraska",NDA,PAPILLION-LA VISTA PUBLIC SCHOOLS,NEBRASKA,,,,
"Wylie Independent School District, Texas",NDA,WYLIE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Geary County Schools USD 475, Kansas",NDA,GEARY COUNTY SCHOOLS USD 475,KANSAS,,,,
"Miami Unified School District #40, Arizona",NDA,MIAMI UNIFIED SCHOOL DISTRICT #40,ARIZONA,,,,
"California Department of State Hospitals, California",NDA,CALIFORNIA DEPARTMENT OF STATE HOSPITALS,CALIFORNIA,,,,
"Roseville Joint Union High School District, California",NDA,ROSEVILLE JOINT UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Woodward Middle School, Washington",NDA,WOODWARD MIDDLE SCHOOL,WASHINGTON,,,,
"East Ramapo Central School District, New York",NDA,EAST RAMAPO CENTRAL SCHOOL DISTRICT,NEW YORK,,,,
"Middletown Enlarged City School District, New York",NDA,MIDDLETOWN ENLARGED CITY SCHOOL DISTRICT,NEW YORK,,,,
"North Smithfield School Department, Rhode Island",NDA,NORTH SMITHFIELD SCHOOL DEPARTMENT,RHODE ISLAND,,,,
"Norwood Public Schools, Massachusetts",NDA,NORWOOD PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Mohawk Trail Regional School District, Massachusetts",NDA,MOHAWK TRAIL REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Montour School District, Pennsylvania",NDA,MONTOUR SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Russellville School District No. 14, Arkansas",NDA,RUSSELLVILLE SCHOOL DISTRICT NO. 14,ARKANSAS,,,,
"New York City School District #2, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #2,NEW YORK,,,,
"Lorain County Community College, Ohio",NDA,LORAIN COUNTY COMMUNITY COLLEGE,OHIO,,,,
"Dansville School District, New York",NDA,DANSVILLE SCHOOL DISTRICT,NEW YORK,,,,
"Cassia County Joint School District #151, Idaho",NDA,CASSIA COUNTY JOINT SCHOOL DISTRICT #151,IDAHO,,,,
"Apple Valley Unified School District, California",NDA,APPLE VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Hickory Ridge High School, North Carolina",NDA,HICKORY RIDGE HIGH SCHOOL,NORTH CAROLINA,,,,
"La Paz Middle School, California",NDA,LA PAZ MIDDLE SCHOOL,CALIFORNIA,,,,
"City of Cheyenne, Wyoming",NDA,CITY OF CHEYENNE,WYOMING,,,,
"Alamo Community College District, Texas",NDA,ALAMO COMMUNITY COLLEGE DISTRICT,TEXAS,,,,
"District of Columbia - GSA, District of Columbia",NDA,DISTRICT OF COLUMBIA - GSA,DISTRICT OF COLUMBIA,,,,
"City of Coppell, Texas",NDA,CITY OF COPPELL,TEXAS,,,,
"Berkley School District, Massachusetts",NDA,BERKLEY SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Ridgemont Local School District, Ohio",NDA,RIDGEMONT LOCAL SCHOOL DISTRICT,OHIO,,,,
"Marple Newtown School District, Pennsylvania",NDA,MARPLE NEWTOWN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"West Chester Area School District, Pennsylvania",NDA,WEST CHESTER AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Cheney High School, Washington",NDA,CHENEY HIGH SCHOOL,WASHINGTON,,,,
"Palm Beach County Water Utilities, Florida",NDA,PALM BEACH COUNTY WATER UTILITIES,FLORIDA,,,,
"Putnam County Charter School System, Georgia",NDA,PUTNAM COUNTY CHARTER SCHOOL SYSTEM,GEORGIA,,,,
"Senn High School, Illinois",NDA,SENN HIGH SCHOOL,ILLINOIS,,,,
"Santa Clara Unified School District, California",NDA,SANTA CLARA UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Karns City Area School District, Pennsylvania",NDA,KARNS CITY AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Burlingame School District, California",NDA,BURLINGAME SCHOOL DISTRICT,CALIFORNIA,,,,
"Lamar University, Texas",NDA,LAMAR UNIVERSITY,TEXAS,,,,
"Altoona Area School District, Pennsylvania",NDA,ALTOONA AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Cascade School District No. 228, Washington",NDA,CASCADE SCHOOL DISTRICT NO. 228,WASHINGTON,,,,
"Hutchinson Public School District No. 423, Minnesota",NDA,HUTCHINSON PUBLIC SCHOOL DISTRICT NO. 423,MINNESOTA,,,,
"Hermiston School District, Oregon",NDA,HERMISTON SCHOOL DISTRICT,OREGON,,,,
"University Of Georgia, Georgia",NDA,UNIVERSITY OF GEORGIA,GEORGIA,,,,
"Collegium Charter School, Pennsylvania",NDA,COLLEGIUM CHARTER SCHOOL,PENNSYLVANIA,,,,
"Arlington Independent School District, Texas",NDA,ARLINGTON INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"East Avenue Middle School, California",NDA,EAST AVENUE MIDDLE SCHOOL,CALIFORNIA,,,,
"Florida State University (FSU), Florida",NDA,FLORIDA STATE UNIVERSITY (FSU),FLORIDA,,,,
"Benjamin School District 25, Illinois",NDA,BENJAMIN SCHOOL DISTRICT 25,ILLINOIS,,,,
"Ft. Thomas Independent Schools, Kentucky",NDA,FT. THOMAS INDEPENDENT SCHOOLS,KENTUCKY,,,,
"Sunnybrook School District No. 171, Illinois",NDA,SUNNYBROOK SCHOOL DISTRICT NO. 171,ILLINOIS,,,,
"Highline College, Washington",NDA,HIGHLINE COLLEGE,WASHINGTON,,,,
"City of Barnstable Town, Massachusetts",NDA,CITY OF BARNSTABLE TOWN,MASSACHUSETTS,,,,
"Iron County School District, Utah",NDA,IRON COUNTY SCHOOL DISTRICT,UTAH,,,,
"Neah-Kah-Nie School District, Oregon",NDA,NEAH-KAH-NIE SCHOOL DISTRICT,OREGON,,,,
"Truth or Consequences Municipal Schools, New Mexico",NDA,TRUTH OR CONSEQUENCES MUNICIPAL SCHOOLS,NEW MEXICO,,,,
"Kirtland Local School District, Ohio",NDA,KIRTLAND LOCAL SCHOOL DISTRICT,OHIO,,,,
"OABCIG Community School District, Iowa",NDA,OABCIG COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Ashland Public Schools, Massachusetts",NDA,ASHLAND PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Tewksbury Public Schools, Massachusetts",NDA,TEWKSBURY PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"School District of Nekoosa, Wisconsin",NDA,SCHOOL DISTRICT OF NEKOOSA,WISCONSIN,,,,
"Hampden-Wilbraham Regional School District, Massachusetts",NDA,HAMPDEN-WILBRAHAM REGIONAL SCHOOL DISTRICT,MASSACHUSETTS,,,,
"School District of Bismarck, North Dakota",NDA,SCHOOL DISTRICT OF BISMARCK,NORTH DAKOTA,,,,
"Thomasville City School District, North Carolina",NDA,THOMASVILLE CITY SCHOOL DISTRICT,NORTH CAROLINA,,,,
"Copley-Fairlawn City School District, Ohio",NDA,COPLEY-FAIRLAWN CITY SCHOOL DISTRICT,OHIO,,,,
"Coeur d' Alene Public Schools, Idaho",NDA,COEUR D' ALENE PUBLIC SCHOOLS,IDAHO,,,,
"Aspen Elementary School, Wyoming",NDA,ASPEN ELEMENTARY SCHOOL,WYOMING,,,,
"Nevada R-V School District, Missouri",NDA,NEVADA R-V SCHOOL DISTRICT,MISSOURI,,,,
"Spencer Community School District, Iowa",NDA,SPENCER COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"New York City School District #22, New York",NDA,NEW YORK CITY SCHOOL DISTRICT #22,NEW YORK,,,,
"Staples-Motley Independent School District No. 2170, Minnesota",NDA,STAPLES-MOTLEY INDEPENDENT SCHOOL DISTRICT NO. 2170,MINNESOTA,,,,
"Town of Scarborough, Maine",NDA,TOWN OF SCARBOROUGH,MAINE,,,,
"Palatine Community Consolidated School District No. 15, Illinois",NDA,PALATINE COMMUNITY CONSOLIDATED SCHOOL DISTRICT NO. 15,ILLINOIS,,,,
"Canoga Park Elementary School, California",NDA,CANOGA PARK ELEMENTARY SCHOOL,CALIFORNIA,,,,
"Bemidji Area Schools Independent School District No. 31, Minnesota",NDA,BEMIDJI AREA SCHOOLS INDEPENDENT SCHOOL DISTRICT NO. 31,MINNESOTA,,,,
"Sycamore Community City School District, Ohio",NDA,SYCAMORE COMMUNITY CITY SCHOOL DISTRICT,OHIO,,,,
"School District of Mauston, Wisconsin",NDA,SCHOOL DISTRICT OF MAUSTON,WISCONSIN,,,,
"Harlingen Consolidated Independent School District, Texas",NDA,HARLINGEN CONSOLIDATED INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"New Lexington City School District, Ohio",NDA,NEW LEXINGTON CITY SCHOOL DISTRICT,OHIO,,,,
"Milton Area School District, Pennsylvania",NDA,MILTON AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Ridgewood Community High School District #234, Illinois",NDA,RIDGEWOOD COMMUNITY HIGH SCHOOL DISTRICT #234,ILLINOIS,,,,
"Otsego Northern Catskills BOCES, New York",NDA,OTSEGO NORTHERN CATSKILLS BOCES,NEW YORK,,,,
"Fall River Public Schools, Massachusetts",NDA,FALL RIVER PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Kranz Junior High School, Texas",NDA,KRANZ JUNIOR HIGH SCHOOL,TEXAS,,,,
"Montgomery County R-II School District, Missouri",NDA,MONTGOMERY COUNTY R-II SCHOOL DISTRICT,MISSOURI,,,,
"New Bedford Public Schools, Massachusetts",NDA,NEW BEDFORD PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Richland-Bean Blossom Community School Corporation, Indiana",NDA,RICHLAND-BEAN BLOSSOM COMMUNITY SCHOOL CORPORATION,INDIANA,,,,
"Montville Township Public Schools, New Jersey",NDA,MONTVILLE TOWNSHIP PUBLIC SCHOOLS,NEW JERSEY,,,,
"Paul Laurence Dunbar High School, Kentucky",NDA,PAUL LAURENCE DUNBAR HIGH SCHOOL,KENTUCKY,,,,
"Needville Independent School District, Texas",NDA,NEEDVILLE INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Wahpeton Public Schools, North Dakota",NDA,WAHPETON PUBLIC SCHOOLS,NORTH DAKOTA,,,,
"Upper Perkiomen School District, Pennsylvania",NDA,UPPER PERKIOMEN SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Department for Aging and Rehabilitative Services, Virginia",NDA,DEPARTMENT FOR AGING AND REHABILITATIVE SERVICES,VIRGINIA,,,,
"Seattle School District 1, Washington",NDA,SEATTLE SCHOOL DISTRICT 1,WASHINGTON,,,,
"Town Of Collierville, Tennessee",NDA,TOWN OF COLLIERVILLE,TENNESSEE,,,,
"Urban Promise Academy, California",NDA,URBAN PROMISE ACADEMY,CALIFORNIA,,,,
