Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Exeter Township School District, Pennsylvania",NDA,EXETER TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,,,,
"North Spencer County School District, Indiana",NDA,NORTH SPENCER COUNTY SCHOOL DISTRICT,INDIANA,,,,
"Crete-Monee School District No. 201-U, Illinois",NDA,CRETE-MONEE SCHOOL DISTRICT NO. 201-U,ILLINOIS,,,,
"Cutler-Orosi Joint Unified School District, California",NDA,CUTLER-OROSI JOINT UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Metropolitan Nashville Public Schools, Tennessee",NDA,METROPOLITAN NASHVILLE PUBLIC SCHOOLS,TENNESSEE,,,,
"Roswell Independent School District, New Mexico",NDA,ROSWELL INDEPENDENT SCHOOL DISTRICT,NEW MEXICO,,,,
"Garden Grove Unified School District, California",NDA,GARDEN GROVE UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Williamson County Schools, Tennessee",NDA,WILLIAMSON COUNTY SCHOOLS,TENNESSEE,,,,
"Northridge Local School District (Dayton), Ohio",NDA,NORTHRIDGE LOCAL SCHOOL DISTRICT (DAYTON),OHIO,,,,
"Downey Unified School District, California",NDA,DOWNEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Saddleback Valley Unified School District, California",NDA,SADDLEBACK VALLEY UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"El Paso Independent School District, Texas",NDA,EL PASO INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Cedar Falls Community School District, Iowa",NDA,CEDAR FALLS COMMUNITY SCHOOL DISTRICT,IOWA,,,,
"Dublin Unified School District, California",NDA,DUBLIN UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Cajon Valley Union School District, California",NDA,CAJON VALLEY UNION SCHOOL DISTRICT,CALIFORNIA,,,,
"Detroit Public Schools, Michigan",NDA,DETROIT PUBLIC SCHOOLS,MICHIGAN,,,,
"Department of Defense: Defense Logistics Agency, Virginia",NDA,DEPARTMENT OF DEFENSE: DEFENSE LOGISTICS AGENCY,VIRGINIA,,,,
"School District of New Berlin, Wisconsin",NDA,SCHOOL DISTRICT OF NEW BERLIN,WISCONSIN,,,,
"Albuquerque Public Schools, New Mexico",NDA,ALBUQUERQUE PUBLIC SCHOOLS,NEW MEXICO,,,,
"Kenton County School District, Kentucky",NDA,KENTON COUNTY SCHOOL DISTRICT,KENTUCKY,,,,
"Newark Public Schools, New Jersey",NDA,NEWARK PUBLIC SCHOOLS,NEW JERSEY,,,,
"Revere Public Schools, Massachusetts",NDA,REVERE PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Lower Moreland Township School District, Pennsylvania",NDA,LOWER MORELAND TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Wake County Public School System, North Carolina",NDA,WAKE COUNTY PUBLIC SCHOOL SYSTEM,NORTH CAROLINA,,,,
"City of Revere, Massachusetts",NDA,CITY OF REVERE,MASSACHUSETTS,,,,
"Jefferson County Public Schools, Kentucky",NDA,JEFFERSON COUNTY PUBLIC SCHOOLS,KENTUCKY,,,,
"Spring Cove School District, Pennsylvania",NDA,SPRING COVE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Rockford School District No. 205, Illinois",NDA,ROCKFORD SCHOOL DISTRICT NO. 205,ILLINOIS,,,,
"Allegheny Valley School District, Pennsylvania",NDA,ALLEGHENY VALLEY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Deming Public School District, New Mexico",NDA,DEMING PUBLIC SCHOOL DISTRICT,NEW MEXICO,,,,
"Warren County Career Center, Ohio",NDA,WARREN COUNTY CAREER CENTER,OHIO,,,,
"Moreland School District, California",NDA,MORELAND SCHOOL DISTRICT,CALIFORNIA,,,,
"Lowndes County Schools, Georgia",NDA,LOWNDES COUNTY SCHOOLS,GEORGIA,,,,
"Taylor Independent School District, Texas",NDA,TAYLOR INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Carle Place Public Schools, New York",NDA,CARLE PLACE PUBLIC SCHOOLS,NEW YORK,,,,
"Tuscarora Intermediate Unit 11, Pennsylvania",NDA,TUSCARORA INTERMEDIATE UNIT 11,PENNSYLVANIA,,,,
"Calexico Unified School District, California",NDA,CALEXICO UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Avon Grove School District, Pennsylvania",NDA,AVON GROVE SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Corpus Christi Independent School District, Texas",NDA,CORPUS CHRISTI INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Blue Springs R-IV School District, Missouri",NDA,BLUE SPRINGS R-IV SCHOOL DISTRICT,MISSOURI,,,,
"Red Bluff Joint Union High School District, California",NDA,RED BLUFF JOINT UNION HIGH SCHOOL DISTRICT,CALIFORNIA,,,,
"Newman-Crows Landing Unified School District, California",NDA,NEWMAN-CROWS LANDING UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Douglas County School System, Georgia",NDA,DOUGLAS COUNTY SCHOOL SYSTEM,GEORGIA,,,,
"Great Neck Public Schools, New York",NDA,GREAT NECK PUBLIC SCHOOLS,NEW YORK,,,,
"Pittsburgh Public Schools, Pennsylvania",NDA,PITTSBURGH PUBLIC SCHOOLS,PENNSYLVANIA,,,,
"Greene County Career Center, Ohio",NDA,GREENE COUNTY CAREER CENTER,OHIO,,,,
"Tevis Junior High School, California",NDA,TEVIS JUNIOR HIGH SCHOOL,CALIFORNIA,,,,
"Hillsboro School District, Oregon",NDA,HILLSBORO SCHOOL DISTRICT,OREGON,,,,
"Southwestern Jefferson County Schools, Indiana",NDA,SOUTHWESTERN JEFFERSON COUNTY SCHOOLS,INDIANA,,,,
"Maury County Public Schools, Tennessee",NDA,MAURY COUNTY PUBLIC SCHOOLS,TENNESSEE,,,,
"Belmont School District, Massachusetts",NDA,BELMONT SCHOOL DISTRICT,MASSACHUSETTS,,,,
"Town of Weymouth, Massachusetts",NDA,TOWN OF WEYMOUTH,MASSACHUSETTS,,,,
"Lexington-Richland School District Five, South Carolina",NDA,LEXINGTON-RICHLAND SCHOOL DISTRICT FIVE,SOUTH CAROLINA,,,,
"Lamar Bruni Vergara Middle School, Texas",NDA,LAMAR BRUNI VERGARA MIDDLE SCHOOL,TEXAS,,,,
"Northbrook-Glenview School District No. 30, Illinois",NDA,NORTHBROOK-GLENVIEW SCHOOL DISTRICT NO. 30,ILLINOIS,,,,
"Holyoke Public Schools, Massachusetts",NDA,HOLYOKE PUBLIC SCHOOLS,MASSACHUSETTS,,,,
"Barbers Hill Independent School District, Texas",NDA,BARBERS HILL INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"San Francisco Municipal Transportation Agency, California",NDA,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY,CALIFORNIA,,,,
"Las Cruces Public Schools, New Mexico",NDA,LAS CRUCES PUBLIC SCHOOLS,NEW MEXICO,,,,
"Rogers Public Schools, Arkansas",NDA,ROGERS PUBLIC SCHOOLS,ARKANSAS,,,,
"Hacienda La Puente Unified School District, California",NDA,HACIENDA LA PUENTE UNIFIED SCHOOL DISTRICT,CALIFORNIA,,,,
"Springfield Public Schools, Missouri",NDA,SPRINGFIELD PUBLIC SCHOOLS,MISSOURI,,,,
"City of Malden, Massachusetts",NDA,CITY OF MALDEN,MASSACHUSETTS,,,,
"South Fayette Township School District, Pennsylvania",NDA,SOUTH FAYETTE TOWNSHIP SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Toledo City School District, Ohio",NDA,TOLEDO CITY SCHOOL DISTRICT,OHIO,,,,
"Quaker Valley School District, Pennsylvania",NDA,QUAKER VALLEY SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Laurel Ridge Community College, Virginia",NDA,LAUREL RIDGE COMMUNITY COLLEGE,VIRGINIA,,,,
"City of Stamford, Connecticut",NDA,CITY OF STAMFORD,CONNECTICUT,,,,
"Lakota Local School District, Ohio",NDA,LAKOTA LOCAL SCHOOL DISTRICT,OHIO,,,,
"Brandywine Heights Area School District, Pennsylvania",NDA,BRANDYWINE HEIGHTS AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Parsippany-Troy Hills School District, New Jersey",NDA,PARSIPPANY-TROY HILLS SCHOOL DISTRICT,NEW JERSEY,,,,
"Los Obispos Middle School, Texas",NDA,LOS OBISPOS MIDDLE SCHOOL,TEXAS,,,,
"Katy Independent School District, Texas",NDA,KATY INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"Bristol-Warren Regional School District, Rhode Island",NDA,BRISTOL-WARREN REGIONAL SCHOOL DISTRICT,RHODE ISLAND,,,,
"Department of Homeland Security - GSA, District of Columbia",NDA,DEPARTMENT OF HOMELAND SECURITY - GSA,DISTRICT OF COLUMBIA,,,,
"Alamogordo Public Schools, New Mexico",NDA,ALAMOGORDO PUBLIC SCHOOLS,NEW MEXICO,,,,
"Judson Independent School District, Texas",NDA,JUDSON INDEPENDENT SCHOOL DISTRICT,TEXAS,,,,
"James Madison University, Virginia",NDA,JAMES MADISON UNIVERSITY,VIRGINIA,,,,
"Easton Area School District, Pennsylvania",NDA,EASTON AREA SCHOOL DISTRICT,PENNSYLVANIA,,,,
"Sarasota County Schools, Florida",NDA,SARASOTA COUNTY SCHOOLS,FLORIDA,,,,
