Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"City Schools of Decatur, Georgia",NDA,CITY SCHOOLS OF DECATUR,GEORGIA,NCES_District-1301680,125 Electric Avenue,Decatur,
"Fairport Central School District, New York",NDA,FAIRPORT CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3610890,38 W CHURCH ST,FAIRPORT,http://www.fairport.org
"Jackson Public Schools, Michigan",NDA,JACKSON PUBLIC SCHOOLS,MICHIGAN,NCES_District-2619620,522 WILDWOOD AVE,JACKSON,http://www.jpsk12.org
"Starpoint Central School District, New York",NDA,STARPOINT CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3628050,4363 MAPLETON RD,LOCKPORT,http://www.starpointcsd.org
"Williamsville Central School District, New York",NDA,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3631470,PO BOX 5000,EAST AMHERST,http://www.williamsvillek12.org
"Richland School District, Wisconsin",NDA,RICHLAND SCHOOL DISTRICT,WISCONSIN,NCES_District-5512960,PO Box 649,Richland Center,http://www.richland.k12.wi.us
"Kennewick School District, Washington",NDA,KENNEWICK SCHOOL DISTRICT,WASHINGTON,NCES_District-5303930,1000 W. 4th Avenue,KENNEWICK,http://www.ksd.org
"Caledonia Community Schools, Michigan",NDA,CALEDONIA COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2607620,8948 KRAFT AVE SE,CALEDONIA,http://www.calschools.org
"Batesville School District, Arkansas",NDA,BATESVILLE SCHOOL DISTRICT,ARKANSAS,NCES_District-0500019,955 WATER ST,BATESVILLE,http://www.batesvilleschools.com
"Lake Hamilton School District, Arkansas",NDA,LAKE HAMILTON SCHOOL DISTRICT,ARKANSAS,NCES_District-0508610,205 WOLF ST,PEARCY,http://wolves.k12.ar.us
"Amherst Central School District, New York",NDA,AMHERST CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3602920,55 KINGS HWY,AMHERST,http://www.amherstschools.org
"Wallkill Central School District, New York",NDA,WALLKILL CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3629790,PO BOX 310,WALLKILL,http://www.wallkillcsd.k12.ny.us
"Kiona-Benton City School District, Washington",NDA,KIONA-BENTON CITY SCHOOL DISTRICT,WASHINGTON,NCES_District-5304020,1105 DALE AVE,BENTON CITY,http://www.kibesd.org
"Cazenovia Central School District, New York",NDA,CAZENOVIA CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3606780,31 EMORY AVE,CAZENOVIA,http://www.caz.cnyric.org
"Auburn School District, Washington",NDA,AUBURN SCHOOL DISTRICT,WASHINGTON,NCES_District-5300300,915 4TH ST NE,AUBURN,
"West Seneca Central School District, New York",NDA,WEST SENECA CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3630780,900 MILL RD,WEST SENECA,http://www.wscschools.org
"Putnam Valley Central School District, New York",NDA,PUTNAM VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3624000,171 OSCAWANA LAKE RD,PUTNAM VALLEY,http://www.pvcsd.org
"Royal Oak Schools, Michigan",NDA,ROYAL OAK SCHOOLS,MICHIGAN,NCES_District-2630300,800 DeVillen Avenue,ROYAL OAK,http://www.royaloakschools.org
"Egg Harbor Township School District, New Jersey",NDA,EGG HARBOR TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3404560,13 Swift Drive,Egg Harbor Township,http://www.eht.k12.nj.us
"Galway Central School District, New York",NDA,GALWAY CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3611730,5317 SACANDAGA RD,GALWAY,http://www.galwaycsd.org
"Greenville Public Schools, Michigan",NDA,GREENVILLE PUBLIC SCHOOLS,MICHIGAN,NCES_District-2617160,1414 CHASE ST,GREENVILLE,http://www.gpsjackets.org
"Benton School District, Arkansas",NDA,BENTON SCHOOL DISTRICT,ARKANSAS,NCES_District-0502960,P O BOX 939,BENTON,http://bentonschools.org
"Stokes County Schools, North Carolina",NDA,STOKES COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3704380,PO Box 50,Danbury,http://www.stokes.k12.nc.us/
"Lacey Township School District, New Jersey",NDA,LACEY TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3408100,200 Western Blvd.,Lanoka Harbor,http://www.laceyschools.org
"Ithaca Public Schools, Michigan",NDA,ITHACA PUBLIC SCHOOLS,MICHIGAN,NCES_District-2619580,710 NORTH UNION ST,ITHACA,http://www.ithacaschools.net
"Sturgeon Bay School District, Wisconsin",NDA,STURGEON BAY SCHOOL DISTRICT,WISCONSIN,NCES_District-5514610,1230 Michigan St,Sturgeon Bay,http://www.sturbay.k12.wi.us
"Barron Area School District, Wisconsin",NDA,BARRON AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5500870,100 W River Ave,Barron,http://www.barron.k12.wi.us
"Branchburg Township School District, New Jersey",NDA,BRANCHBURG TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3402160,240 Baird Road,Branchburg,http://www.branchburg.k12.nj.us
"Essex County Schools Of Technology, New Jersey",NDA,ESSEX COUNTY SCHOOLS OF TECHNOLOGY,NEW JERSEY,NCES_District-3404800,60 Nelson Place,Newark,http://www.essextech.org
"Blytheville School District, Arkansas",NDA,BLYTHEVILLE SCHOOL DISTRICT,ARKANSAS,NCES_District-0503320,P O BOX 1169,BLYTHEVILLE,http://bythevilleschools.com
"Escanaba Area Public Schools, Michigan",NDA,ESCANABA AREA PUBLIC SCHOOLS,MICHIGAN,NCES_District-2613500,1500 LUDINGTON ST,ESCANABA,http://www.eskymos.com
"Franklin West Supervisory Union, Vermont",NDA,FRANKLIN WEST SUPERVISORY UNION,VERMONT,NCES_District-5099922,P.O. Box 108,Fairfax,http://www.franklinwestsu.org/
"Franklin County Schools, North Carolina",NDA,FRANKLIN COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3701530,53 West River Road,Louisburg,http://www.fcschools.net
"Richardson ISD, Texas",NDA,RICHARDSON ISD,TEXAS,NCES_District-4837020,400 S GREENVILLE AVE,RICHARDSON,http://www.risd.org
"San Joaquin County Office of Education, California",NDA,SAN JOAQUIN COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691031,PO Box 213030,Stockton,http://www.sjcoe.org
"Little Falls City School District, New York",NDA,LITTLE FALLS CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3617460,15 PETRIE ST,LITTLE FALLS,http://www.lfcsd.org
"Cinnaminson Township School District, New Jersey",NDA,CINNAMINSON TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3403120,2195 RIVERTON ROAD,CINNAMINSON,http://www.cinnaminson.com
"Passaic City School District, New Jersey",NDA,PASSAIC CITY SCHOOL DISTRICT,NEW JERSEY,NCES_District-3412540,P.O. Box 388,Passaic,http://www.passaicschools.org/
"Cayuga-Onondaga BOCES, New York",NDA,CAYUGA-ONONDAGA BOCES,NEW YORK,NCES_District-3680180,1879 W GENESEE ST RD,AUBURN,http://www.cayboces.org
"Vandercook Lake Public Schools, Michigan",NDA,VANDERCOOK LAKE PUBLIC SCHOOLS,MICHIGAN,NCES_District-2634650,1000 EAST GOLF AVE,JACKSON,http://vandyschools.org
"Burnt Hills-Ballston Lake Central School District, New York",NDA,BURNT HILLS-BALLSTON LAKE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3605940,PO BOX 1389,BALLSTON LAKE,http://www.bhbl.org
"Chehalis School District, Washington",NDA,CHEHALIS SCHOOL DISTRICT,WASHINGTON,NCES_District-5301170,310 SW 16TH ST,CHEHALIS,http://www.chehalisschools.org
