Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Round Rock ISD, Texas",NDA,ROUND ROCK ISD,TEXAS,NCES_District-4838080,1311 ROUND ROCK AVE,ROUND ROCK,http://www.roundrockisd.org
"Grand Prairie ISD, Texas",NDA,GRAND PRAIRIE ISD,TEXAS,NCES_District-4821420,BOX 531170,GRAND PRAIRIE,http://www.gpisd.org/
"Quincy School District, Washington",NDA,QUINCY SCHOOL DISTRICT,WASHINGTON,NCES_District-5307080,119 J ST SW,QUINCY,
"Sacramento County Office of Education, California",NDA,SACRAMENTO COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691027,PO Box 269003,Sacramento,http://www.scoe.net
"Grand Island Central School District, New York",NDA,GRAND ISLAND CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3607020,1100 RANSOM RD,GRAND ISLAND,http://www.grandislandschools.org
"Aldine ISD, Texas",NDA,ALDINE ISD,TEXAS,NCES_District-4807710,2520 W W THORNE DR,HOUSTON,http://www.aldineisd.org
"Uplift Education, Texas",NDA,UPLIFT EDUCATION,TEXAS,NCES_District-4800030,3000 PEGASUS PARK DR STE 1100,DALLAS,http://www.upliftparent.org/uplifteducation
"Cedarburg School District, Wisconsin",NDA,CEDARBURG SCHOOL DISTRICT,WISCONSIN,NCES_District-5502460,W68N611 Evergreen Blvd,Cedarburg,http://www.cedarburg.k12.wi.us
"South Haven Public Schools, Michigan",NDA,SOUTH HAVEN PUBLIC SCHOOLS,MICHIGAN,NCES_District-2632300,554 GREEN ST,SOUTH HAVEN,http://www.shps.org
"Pullman School District, Washington",NDA,PULLMAN SCHOOL DISTRICT,WASHINGTON,NCES_District-5306930,240 SE DEXTER ST,PULLMAN,http://www.pullmanschools.org
"Putnam County Schools, West Virginia",NDA,PUTNAM COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5401200,77 COURTHOUSE DRIVE,WINFIELD,
"Stillwater Area Public Schools, Minnesota",NDA,STILLWATER AREA PUBLIC SCHOOLS,MINNESOTA,NCES_District-2738190,1875 GREELEY ST S,STILLWATER,http://www.stillwaterschools.org
"Nassau BOCES, New York",NDA,NASSAU BOCES,NEW YORK,NCES_District-3680540,PO BOX 9195,GARDEN CITY,http://www.nassauboces.org
"Newfane Central School District, New York",NDA,NEWFANE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3620760,6273 CHARLOTTEVILLE RD,NEWFANE,http://www.newfane.wnyric.org
"Brooke County Schools, West Virginia",NDA,BROOKE COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400150,1201 PLEASANT AVENUE,WELLSBURG,
"Goodrich Area Schools, Michigan",NDA,GOODRICH AREA SCHOOLS,MICHIGAN,NCES_District-2616320,8029 GALE RD,GOODRICH,http://www.goodrichschools.org
"Jonesville Community Schools, Michigan",NDA,JONESVILLE COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2619920,115 East Street,Jonesville,http://jonesvilleschools.org
"San Marcos CISD, Texas",NDA,SAN MARCOS CISD,TEXAS,NCES_District-4838970,P O BOX 1087,SAN MARCOS,http://www.smcisd.net
"Oregon School District, Wisconsin",NDA,OREGON SCHOOL DISTRICT,WISCONSIN,NCES_District-5511100,123 E Grove St,Oregon,http://www.oregonsd.org
"Lancaster ISD, Texas",NDA,LANCASTER ISD,TEXAS,NCES_District-4826670,422 S CENTRE AVE,LANCASTER,http://www.lancasterisd.org
"Oak Creek-Franklin Joint School District, Wisconsin",NDA,OAK CREEK-FRANKLIN JOINT SCHOOL DISTRICT,WISCONSIN,NCES_District-5510830,7630 S 10th St,Oak Creek,http://www.ocfsd.org
"Okanogan School District, Washington",NDA,OKANOGAN SCHOOL DISTRICT,WASHINGTON,NCES_District-5306150,PO BOX 592,OKANOGAN,http://www.oksd.wednet.edu
"Conroe ISD, Texas",NDA,CONROE ISD,TEXAS,NCES_District-4815000,3205 W DAVIS,CONROE,http://www.conroeisd.net
"Lemmon School District 52-4, South Dakota",NDA,LEMMON SCHOOL DISTRICT 52-4,SOUTH DAKOTA,NCES_District-4641520,314 8th St W,Lemmon,http://www.lemmon.k12.sd.us
"Little Rock School District, Arkansas",NDA,LITTLE ROCK SCHOOL DISTRICT,ARKANSAS,NCES_District-0509000,810 W MARKHAM ST,LITTLE ROCK,http://www.lrsd.org
"Brockport Central School District, New York",NDA,BROCKPORT CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3605580,40 ALLEN ST,BROCKPORT,http://www.bcs1.org
"Hudson School District, Wisconsin",NDA,HUDSON SCHOOL DISTRICT,WISCONSIN,NCES_District-5506690,644 Brakke Dr,Hudson,http://www.hudsonraiders.org
"IDEA Public Schools, Texas",NDA,IDEA PUBLIC SCHOOLS,TEXAS,NCES_District-4800211,2115 W PIKE BLVD,WESLACO,http://www.ideapublicschools.org
"Houston ISD, Texas",NDA,HOUSTON ISD,TEXAS,NCES_District-4823640,4400 W 18TH ST,HOUSTON,http://www.houstonisd.org
"Nash County Public Schools, North Carolina",NDA,NASH COUNTY PUBLIC SCHOOLS,NORTH CAROLINA,NCES_District-3703270,930 Eastern Avenue,Nashville,http://ww.ncpschools.net
"Southgate Community School District, Michigan",NDA,SOUTHGATE COMMUNITY SCHOOL DISTRICT,MICHIGAN,NCES_District-2632340,13940 LEROY ST,SOUTHGATE,
"Randolph County School System, North Carolina",NDA,RANDOLPH COUNTY SCHOOL SYSTEM,NORTH CAROLINA,NCES_District-3703780,2222-C S Fayetteville Street,Asheboro,http://www.randolph.k12.nc.us/
"Irvington Union Free School District, New York",NDA,IRVINGTON UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3615450,40 N BROADWAY,IRVINGTON,http://www.irvingtonschools.org
"Hamilton Central School District, New York",NDA,HAMILTON CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3613380,47 W KENDRICK AVE,HAMILTON,http://www.hamiltoncentral.org
"North Country Supervisory Union, Vermont",NDA,NORTH COUNTRY SUPERVISORY UNION,VERMONT,NCES_District-5099931,121 Duchess Avenue Suite A,Newport,http://www.ncsuvt.org/
"Wheatland-Chili Central School District, New York",NDA,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3631170,13 BECKWITH AVE,SCOTTSVILLE,http://www.wheatland.k12.ny.us
"Scottsbluff Public Schools, Nebraska",NDA,SCOTTSBLUFF PUBLIC SCHOOLS,NEBRASKA,NCES_District-3176470,1722 1ST AVENUE,SCOTTSBLUFF,
"Acadiana Renaissance Charter Academy, Louisiana",NDA,ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,NCES_District-2200231,600 Savoy Rd,Youngsville,
"Olympia School District, Washington",NDA,OLYMPIA SCHOOL DISTRICT,WASHINGTON,NCES_District-5306180,111 BETHEL ST. NE,OLYMPIA,http://osd.wednet.edu
"Edgemont Union Free School District, New York",NDA,EDGEMONT UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3610200,300 WHITE OAK LN,SCARSDALE,http://www.edgemont.org
"Bedford Public Schools, Michigan",NDA,BEDFORD PUBLIC SCHOOLS,MICHIGAN,NCES_District-2604470,1135 SMITH RD,TEMPERANCE,http://www.bedford.k12.mi.us
"Middle Country Central School District, New York",NDA,MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3619200,8 43RD ST-ADM OFF,CENTEREACH,http://www.mccsd.net
"Greenwood ISD, Texas",NDA,GREENWOOD ISD,TEXAS,NCES_District-4821750,2700 FM 1379,MIDLAND,http://www.greenwood.esc18.net
"Westside Community Schools, Nebraska",NDA,WESTSIDE COMMUNITY SCHOOLS,NEBRASKA,NCES_District-3178660,909 S 76TH ST,OMAHA,
"Lake Fenton Community Schools, Michigan",NDA,LAKE FENTON COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2620670,11425 TORREY RD,FENTON,http://www.lakefentonschools.org
"College Station ISD, Texas",NDA,COLLEGE STATION ISD,TEXAS,NCES_District-4807350,1812 WELSH AVE,COLLEGE STATION,http://www.csisd.org
